State FIPS,Area Name,Occupation Code,Occupation Name,Base Year,Base,Projected Year,Projection,Change,Percent Change,Average Annual Openings
0, United States,00-0000,"Total, All Occupations",2014,150539900,2024,160328800,9788900,6.5,4650690
0, United States,11-1011,Chief Executives,2014,343400,2024,339400,-4100,-1.2,5840
0, United States,11-1021,General and Operations Managers,2014,2124100,2024,2275200,151100,7.1,68880
0, United States,11-1031,Legislators,2014,58300,2024,57900,-400,-0.7,1290
0, United States,11-2011,Advertising and Promotions Managers,2014,31000,2024,32400,1500,4.7,1140
0, United States,11-2021,Marketing Managers,2014,194300,2024,212500,18200,9.4,6420
0, United States,11-2022,Sales Managers,2014,376300,2024,395300,19000,5.1,10800
0, United States,11-2031,Public Relations and Fundraising Managers,2014,65800,2024,70500,4700,7.1,2710
0, United States,11-3011,Administrative Services Managers,2014,287300,2024,310800,23500,8.2,7720
0, United States,11-3021,Computer and Information Systems Managers,2014,348500,2024,402200,53700,15.4,9480
0, United States,11-3031,Financial Managers,2014,555900,2024,593500,37700,6.8,16930
0, United States,11-3051,Industrial Production Managers,2014,173400,2024,167000,-6300,-3.7,4910
0, United States,11-3061,Purchasing Managers,2014,73000,2024,73700,700,1,1790
0, United States,11-3071,"Transportation, Storage, and Distribution Managers",2014,111600,2024,114100,2500,2.2,2710
0, United States,11-3111,Compensation and Benefits Managers,2014,16900,2024,18000,1100,6.5,600
0, United States,11-3121,Human Resources Managers,2014,122500,2024,133300,10800,8.8,4660
0, United States,11-3131,Training and Development Managers,2014,32900,2024,35200,2300,7,1190
0, United States,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2014,929800,2024,911700,-18100,-1.9,15840
0, United States,11-9021,Construction Managers,2014,373200,2024,391100,17800,4.8,7010
0, United States,11-9031,"Education Administrators, Preschool and Childcare Center/Program",2014,64000,2024,68200,4200,6.6,2290
0, United States,11-9032,"Education Administrators, Elementary and Secondary School",2014,240000,2024,254000,14000,5.8,8380
0, United States,11-9033,"Education Administrators, Postsecondary",2014,175100,2024,190300,15200,8.7,6610
0, United States,11-9039,"Education Administrators, All Other",2014,37800,2024,39300,1500,4,1250
0, United States,11-9041,Architectural and Engineering Managers,2014,182100,2024,185800,3700,2,5950
0, United States,11-9051,Food Service Managers,2014,305000,2024,320700,15700,5.1,7710
0, United States,11-9061,Funeral Service Managers,2014,29300,2024,30300,1000,3.3,740
0, United States,11-9071,Gaming Managers,2014,3800,2024,3800,0,-0.6,80
0, United States,11-9081,Lodging Managers,2014,48400,2024,52100,3700,7.6,1300
0, United States,11-9111,Medical and Health Services Managers,2014,333000,2024,389300,56300,16.9,14050
0, United States,11-9121,Natural Sciences Managers,2014,55100,2024,56900,1800,3.3,1330
0, United States,11-9131,Postmasters and Mail Superintendents,2014,17300,2024,12800,-4600,-26.2,380
0, United States,11-9141,"Property, Real Estate, and Community Association Managers",2014,313800,2024,339100,25300,8.1,7990
0, United States,11-9151,Social and Community Service Managers,2014,138500,2024,151700,13200,9.5,4980
0, United States,11-9161,Emergency Management Directors,2014,10500,2024,11200,700,6.2,190
0, United States,11-9199,"Managers, All Other",2014,985600,2024,1023600,38000,3.9,25540
0, United States,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2014,19700,2024,20200,500,2.5,680
0, United States,13-1021,"Buyers and Purchasing Agents, Farm Products",2014,12900,2024,13500,600,4.6,330
0, United States,13-1022,"Wholesale and Retail Buyers, Except Farm Products",2014,129500,2024,137500,8100,6.2,4910
0, United States,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2014,300800,2024,299300,-1500,-0.5,8270
0, United States,13-1031,"Claims Adjusters, Examiners, and Investigators",2014,299700,2024,309500,9800,3.3,8400
0, United States,13-1032,"Insurance Appraisers, Auto Damage",2014,15500,2024,15400,-200,-1.2,380
0, United States,13-1041,Compliance Officers,2014,260300,2024,269000,8700,3.3,4530
0, United States,13-1051,Cost Estimators,2014,213500,2024,232300,18700,8.8,7950
0, United States,13-1071,Human Resources Specialists,2014,482000,2024,503900,22000,4.6,13930
0, United States,13-1074,Farm Labor Contractors,2014,100,2024,100,0,-8.9,0
0, United States,13-1075,Labor Relations Specialists,2014,82100,2024,75600,-6400,-7.8,2000
0, United States,13-1081,Logisticians,2014,130400,2024,132900,2500,1.9,2060
0, United States,13-1111,Management Analysts,2014,758000,2024,861400,103400,13.6,20850
0, United States,13-1121,"Meeting, Convention, and Event Planners",2014,100000,2024,109900,9900,9.9,2180
0, United States,13-1131,Fundraisers,2014,73400,2024,80300,6900,9.3,1710
0, United States,13-1141,"Compensation, Benefits, and Job Analysis Specialists",2014,84700,2024,88100,3400,4,2400
0, United States,13-1151,Training and Development Specialists,2014,252600,2024,271500,18900,7.5,8040
0, United States,13-1161,Market Research Analysts and Marketing Specialists,2014,495500,2024,587800,92300,18.6,15140
0, United States,13-1199,"Business Operations Specialists, All Other",2014,998000,2024,1046000,48000,4.8,16690
0, United States,13-2011,Accountants and Auditors,2014,1332700,2024,1475100,142400,10.7,49800
0, United States,13-2021,Appraisers and Assessors of Real Estate,2014,85800,2024,92500,6800,7.9,2050
0, United States,13-2031,Budget Analysts,2014,60800,2024,62300,1500,2.5,1670
0, United States,13-2041,Credit Analysts,2014,69400,2024,73600,4200,6.1,3430
